id,modulo,competencia,eje_tematico,preguntas,categoria
1,FUNDAMENTOS TRANSFORMADORES STEM,Analiza críticamente los fundamentos teóricos y conceptuales del enfoque STEM+ para transformar su práctica pedagógica,Ecosistemas de Innovación Educativa: Bases conceptuales y evolución del enfoque STEM,"¿Puedes explicar qué entiendes por ecosistemas de innovación educativa? ¿Has trabajado con metodologías STEM antes? ¿Qué experiencia tienes con enfoques interdisciplinarios en educación?",Fundamentos
2,FUNDAMENTOS TRANSFORMADORES STEM,Analiza críticamente los fundamentos teóricos y conceptuales del enfoque STEM+ para transformar su práctica pedagógica,Aprendizaje Experiencial Integrado: Fundamentos constructivistas y socioconstructivistas,"¿Qué conoces sobre el constructivismo en educación? ¿Has implementado aprendizaje basado en experiencias? ¿Cómo relacionas teoría y práctica en tus clases?",Fundamentos
3,FUNDAMENTOS TRANSFORMADORES STEM,Analiza críticamente los fundamentos teóricos y conceptuales del enfoque STEM+ para transformar su práctica pedagógica,Neurociencia y Aprendizaje Activo: Conexiones entre funcionamiento cerebral y metodología STEM,"¿Tienes conocimientos básicos de neurociencia educativa? ¿Conoces estrategias de aprendizaje activo? ¿Has observado cómo aprenden mejor tus estudiantes?",Neurociencia
4,FUNDAMENTOS TRANSFORMADORES STEM,Analiza críticamente los fundamentos teóricos y conceptuales del enfoque STEM+ para transformar su práctica pedagógica,Educación para la Sostenibilidad Global: Integración de los ODS en proyectos pedagógicos,"¿Conoces los Objetivos de Desarrollo Sostenible? ¿Has integrado temas de sostenibilidad en tus clases? ¿Qué opinas sobre el rol de la educación en el desarrollo sostenible?",Sostenibilidad
5,FUNDAMENTOS TRANSFORMADORES STEM,Analiza críticamente los fundamentos teóricos y conceptuales del enfoque STEM+ para transformar su práctica pedagógica,Integración Transdisciplinar del Conocimiento: Fundamentos de la transdisciplinariedad,"¿Qué entiendes por transdisciplinariedad? ¿Has trabajado en proyectos que integren múltiples disciplinas? ¿Cómo romperías las barreras entre materias tradicionales?",Fundamentos
6,FUNDAMENTOS TRANSFORMADORES STEM,Analiza críticamente los fundamentos teóricos y conceptuales del enfoque STEM+ para transformar su práctica pedagógica,Pedagogías Emergentes y Cultura Maker: Bases teóricas de los nuevos paradigmas educativos,"¿Conoces la cultura maker en educación? ¿Has usado tecnologías como impresión 3D o robótica educativa? ¿Qué opinas sobre el aprender haciendo?",Tecnología
7,DISEÑO INSTRUCCIONAL STEM+,Diseña experiencias de aprendizaje STEM+ contextualizado que integren tecnología e innovación,Metodologías Activas en STEM: Aprendizaje Basado en Problemas y Proyectos,"¿Has implementado ABP en tus clases? ¿Cómo diseñas proyectos que integren ciencia y tecnología? ¿Qué desafíos reales puede resolver tu contexto educativo?",Metodología
8,DISEÑO INSTRUCCIONAL STEM+,Diseña experiencias de aprendizaje STEM+ contextualizado que integren tecnología e innovación,Gamificación y Narrativas Digitales en STEM: Diseño de experiencias inmersivas,"¿Has usado juegos en educación? ¿Conoces plataformas de gamificación educativa? ¿Cómo motivas a estudiantes con tecnología?",Tecnología
9,DISEÑO INSTRUCCIONAL STEM+,Diseña experiencias de aprendizaje STEM+ contextualizado que integren tecnología e innovación,Evaluación Auténtica y Portafolios Digitales: Nuevos paradigmas de assessment,"¿Cómo evalúas proyectos complejos? ¿Has usado rúbricas para competencias? ¿Conoces herramientas de portafolios digitales?",Evaluación
10,DISEÑO INSTRUCCIONAL STEM+,Diseña experiencias de aprendizaje STEM+ contextualizado que integren tecnología e innovación,Aprendizaje Colaborativo y Redes de Conocimiento: Construcción social del saber,"¿Promuevas trabajo en equipo en tus clases? ¿Has usado plataformas colaborativas? ¿Cómo gestionas la diversidad en grupos?",Metodología
11,DISEÑO INSTRUCCIONAL STEM+,Diseña experiencias de aprendizaje STEM+ contextualizado que integren tecnología e innovación,Design Thinking aplicado a la Educación: Metodología centrada en el usuario,"¿Conoces el design thinking? ¿Has aplicado pensamiento de diseño en educación? ¿Cómo identificas necesidades de tus estudiantes?",Innovación
12,DISEÑO INSTRUCCIONAL STEM+,Diseña experiencias de aprendizaje STEM+ contextualizado que integren tecnología e innovación,Realidad Aumentada y Virtual en STEM: Inmersión tecnológica para el aprendizaje,"¿Has experimentado con AR/VR? ¿Conoces aplicaciones educativas inmersivas? ¿Cómo usarías simulaciones en tus clases?",Tecnología
13,TECNOLOGÍAS EMERGENTES,Implementa tecnologías emergentes para potenciar el aprendizaje STEM+ en contextos diversos,Inteligencia Artificial en Educación: Personalización y análisis de aprendizaje,"¿Conoces aplicaciones de IA en educación? ¿Has usado sistemas de recomendación? ¿Qué opinas sobre la personalización automática?",Tecnología
14,TECNOLOGÍAS EMERGENTES,Implementa tecnologías emergentes para potenciar el aprendizaje STEM+ en contextos diversos,Internet de las Cosas (IoT) Educativo: Sensores y datos en tiempo real,"¿Has trabajado con sensores en clase? ¿Conoces proyectos de monitoreo ambiental? ¿Cómo usarías datos en tiempo real?",Tecnología
15,TECNOLOGÍAS EMERGENTES,Implementa tecnologías emergentes para potenciar el aprendizaje STEM+ en contextos diversos,Robótica Educativa y Programación: Pensamiento computacional aplicado,"¿Has enseñado programación? ¿Conoces kits de robótica educativa? ¿Cómo desarrollas pensamiento lógico en estudiantes?",Tecnología
16,TECNOLOGÍAS EMERGENTES,Implementa tecnologías emergentes para potenciar el aprendizaje STEM+ en contextos diversos,Blockchain y Criptomonedas Educativas: Nuevas economías del conocimiento,"¿Entiendes cómo funciona blockchain? ¿Has oído sobre tokens educativos? ¿Cómo recompensarías el aprendizaje digitalmente?",Tecnología
17,TECNOLOGÍAS EMERGENTES,Implementa tecnologías emergentes para potenciar el aprendizaje STEM+ en contextos diversos,Computación Cuántica Básica: Preparando el futuro de la tecnología,"¿Tienes conceptos básicos de física cuántica? ¿Conoces aplicaciones de computación cuántica? ¿Cómo explicarías conceptos complejos?",Ciencia
18,TECNOLOGÍAS EMERGENTES,Implementa tecnologías emergentes para potenciar el aprendizaje STEM+ en contextos diversos,Bioingeniería y Biotecnología Educativa: Laboratorios virtuales y simulaciones,"¿Has trabajado en laboratorios de biología? ¿Conoces simulaciones moleculares? ¿Cómo integrarías bioética en tus clases?",Ciencia
19,INVESTIGACIÓN E INNOVACIÓN,Desarrolla proyectos de investigación aplicada que generen innovación en el contexto educativo local,Metodología de Investigación Cuantitativa: Análisis estadístico en educación,"¿Has hecho investigación educativa? ¿Conoces herramientas estadísticas? ¿Cómo medirías el impacto de una innovación?",Investigación
20,INVESTIGACIÓN E INNOVACIÓN,Desarrolla proyectos de investigación aplicada que generen innovación en el contexto educativo local,Investigación Cualitativa y Etnografía Educativa: Comprensión profunda de contextos,"¿Has usado entrevistas o observación? ¿Conoces métodos cualitativos? ¿Cómo documentarías prácticas educativas?",Investigación
21,INVESTIGACIÓN E INNOVACIÓN,Desarrolla proyectos de investigación aplicada que generen innovación en el contexto educativo local,Investigación-Acción Participativa: Transformación desde la práctica,"¿Has reflexionado sistemáticamente sobre tu práctica? ¿Conoces ciclos de mejora continua? ¿Cómo involucras a la comunidad?",Investigación
22,INVESTIGACIÓN E INNOVACIÓN,Desarrolla proyectos de investigación aplicada que generen innovación en el contexto educativo local,Innovación Social y Emprendimiento Educativo: Soluciones con impacto,"¿Has identificado problemas sociales en tu contexto? ¿Tienes ideas emprendedoras en educación? ¿Cómo generarías impacto social?",Innovación
23,INVESTIGACIÓN E INNOVACIÓN,Desarrolla proyectos de investigación aplicada que generen innovación en el contexto educativo local,Propiedad Intelectual y Patentes Educativas: Protección de innovaciones,"¿Conoces sobre derechos de autor? ¿Has creado recursos educativos originales? ¿Sabes cómo proteger una innovación?",Innovación
24,INVESTIGACIÓN E INNOVACIÓN,Desarrolla proyectos de investigación aplicada que generen innovación en el contexto educativo local,Transferencia de Conocimiento: Del laboratorio al aula,"¿Cómo adaptas investigación científica para estudiantes? ¿Has colaborado con universidades? ¿Conoces divulgación científica?",Investigación
25,LIDERAZGO Y GESTIÓN,Lidera procesos de transformación educativa que promuevan la cultura STEM+ en instituciones,Gestión del Cambio en Instituciones Educativas: Estrategias de transformación,"¿Has liderado cambios en tu institución? ¿Conoces resistencias al cambio? ¿Cómo convences a colegas de innovar?",Liderazgo
26,LIDERAZGO Y GESTIÓN,Lidera procesos de transformación educativa que promuevan la cultura STEM+ en instituciones,Comunicación Efectiva y Storytelling: Narrativas que inspiran,"¿Cómo comunicas tus ideas educativas? ¿Has contado historias para motivar? ¿Conoces técnicas de presentación?",Liderazgo
27,LIDERAZGO Y GESTIÓN,Lidera procesos de transformación educativa que promuevan la cultura STEM+ en instituciones,Redes de Colaboración Inter-institucional: Alianzas estratégicas,"¿Has establecido alianzas educativas? ¿Conoces redes de docentes? ¿Cómo colaboras con otras instituciones?",Liderazgo
28,LIDERAZGO Y GESTIÓN,Lidera procesos de transformación educativa que promuevan la cultura STEM+ en instituciones,Gestión de Recursos y Financiamiento: Sostenibilidad de proyectos STEM,"¿Has gestionado presupuestos educativos? ¿Conoces fuentes de financiamiento? ¿Cómo aseguras sostenibilidad de proyectos?",Liderazgo
29,LIDERAZGO Y GESTIÓN,Lidera procesos de transformación educativa que promuevan la cultura STEM+ en instituciones,Mentoring y Desarrollo Docente: Formación de formadores,"¿Has mentorado a otros docentes? ¿Conoces técnicas de coaching? ¿Cómo desarrollas talento en tu equipo?",Liderazgo
30,LIDERAZGO Y GESTIÓN,Lidera procesos de transformación educativa que promuevan la cultura STEM+ en instituciones,Políticas Públicas en Educación STEM: Incidencia y advocacy,"¿Conoces políticas educativas actuales? ¿Has participado en consultas públicas? ¿Cómo influirías en política educativa?",Liderazgo
