categoria,tipo,pregunta,escala_min,escala_max,licenciatura_especifica
"Conocimientos STEM","escala","Comprendo claramente qué significa el enfoque STEM en educación.",1,5,""
"Conocimientos STEM","escala","Conozco las diferencias entre STEM, STEAM y STEM+.",1,5,""
"Metodologías","escala","Entiendo cómo integrar diferentes disciplinas en una experiencia de aprendizaje.",1,5,""
"Competencias Siglo XXI","escala","Reconozco las competencias del siglo XXI que deben desarrollar mis estudiantes.",1,5,""
"Metodologías Activas","escala","Sé cómo aplicar metodologías activas como ABP y ABR en mi práctica pedagógica.",1,5,""
"Pensamiento Computacional","escala","Comprendo los principios del pensamiento computacional y su aplicación educativa.",1,5,""
"Evaluación","escala","Conozco estrategias para evaluar competencias STEM+ de manera auténtica.",1,5,""
"Contextualización","escala","Entiendo cómo conectar los aprendizajes escolares con problemas reales del contexto.",1,5,""
"Aprendizaje Colaborativo","escala","Sé cómo diseñar experiencias de aprendizaje colaborativo e inclusivo.",1,5,""
"Gamificación","escala","Comprendo la importancia de la gamificación en procesos educativos STEM.",1,5,""
"Tecnología Educativa","escala","Conozco herramientas tecnológicas apropiadas para la enseñanza STEM.",1,5,""
"Sostenibilidad","escala","Entiendo cómo integrar los ODS en proyectos pedagógicos STEM.",1,5,""
"Reflexión General","abierta","¿Cómo definirías con tus propias palabras el enfoque STEM+ y cuál consideras que es su mayor potencial transformador en la educación?",0,0,""
"Experiencia Pedagógica","abierta","Describe una experiencia de aprendizaje que hayas vivido o diseñado que consideres exitosa. ¿Qué elementos tenía que la hicieron significativa?",0,0,""
"Desafíos Contextuales","abierta","¿Qué desafíos identificas en tu contexto educativo actual para implementar el enfoque STEM+ y cómo los abordarías?",0,0,""
"Integración Disciplinar","abierta","¿Cómo visualizas la integración de la tecnología, el análisis de datos y el pensamiento científico en tu práctica como docente de educación física para potenciar el aprendizaje del movimiento y la salud en tus estudiantes?",0,0,"Educación Física"
"Competencias Digitales","abierta","¿De qué manera planeas utilizar tus competencias en programación y pensamiento computacional para diseñar experiencias educativas que desarrollen habilidades STEM en estudiantes de diferentes niveles educativos?",0,0,"Informática"
"Educación Ambiental","abierta","¿Cómo conciben tu rol como educador ambiental en la formación de ciudadanos críticos y responsables que contribuyan a la sostenibilidad del planeta a través de la investigación científica y la acción comunitaria?",0,0,"Ciencias Naturales y Educación Ambiental"
"Primera Infancia","abierta","¿Qué estrategias consideras más efectivas para despertar la curiosidad científica y el pensamiento lógico-matemático en niños de primera infancia, respetando sus ritmos de desarrollo y formas naturales de aprender?",0,0,"Educación Infantil"
